steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
31,1,30.786387934925642,31,30.786387934925642,30.0,30.0
62,2,60.72233417911652,31,29.935946244190873,60.0,30.0
93,3,90.75499630985286,31,30.032662130736373,90.0,30.0
124,4,120.65867955104675,31,29.90368324119389,120.0,30.0
153,5,147.8897410358197,29,27.23106148477297,148.0,30.0
184,6,178.0542445562607,31,30.164503520441027,178.0,30.0
215,7,208.15013140163313,31,30.09588684537243,208.0,30.0
244,8,235.58931633405064,29,27.439184932417493,236.0,30.0
272,9,261.85139095198696,28,26.262074617936292,263.0,30.0
302,10,290.2744552734915,30,28.423064321504597,292.0,30.0
362,12,347.38006930092615,30,28.57664199232792,350.0,30.0
420,14,403.7845042642389,28,27.05182623856578,406.0,30.0
510,17,490.3492129478383,30,28.628630995518026,493.0,30.0
608,20,584.0464065764376,33,30.928081011265903,588.0,32.0
761,25,733.614879140129,32,30.536110166073104,736.0,32.0
911,30,879.4220348108693,31,30.825151145606736,881.0,32.0
1255,40,1211.8003871132155,38,36.6559514807563,1215.0,39.0
1807,50,1754.31116593466,130,129.32980803530083,1757.0,129.0
3027,60,2962.404806950245,197,195.77828229063692,2967.0,196.0
