steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
30,1,28.751102626240492,30,28.751102626240492,29.0,29.0
59,2,56.42276161553152,29,27.671658989291032,57.0,29.0
89,3,85.84709765630294,30,29.42433604077142,86.0,29.0
118,4,114.49136295641185,29,28.644265300108906,114.0,29.0
146,5,141.8711477295166,28,27.379784773104706,141.0,29.0
174,6,168.66644248764212,28,26.79529475812552,168.0,29.0
203,7,197.016081102497,29,28.34963861485482,196.0,29.0
234,8,228.09803481951107,31,31.08195371701409,226.0,30.0
263,9,256.0467980278132,29,27.948763208302186,254.0,30.0
293,10,286.1628204147571,30,30.116022386943875,283.0,30.0
352,12,343.823315866285,29,29.01946543416343,340.0,30.0
410,14,399.8273610509202,29,27.999183897311877,396.0,30.0
499,17,486.6442612283266,31,29.59120966374813,482.0,30.0
588,20,572.2787319834281,31,29.054155659828908,568.0,30.0
746,25,723.7779242869475,29,27.558831841580293,721.0,34.0
891,30,865.0870828892909,28,26.9696387636135,861.0,34.0
1284,40,1246.7929228530818,41,40.025178907398335,1244.0,46.0
1739,50,1691.6585870944261,44,43.8479054918481,1689.0,56.0
3587,60,3528.9964595851966,320,321.0814043882778,3527.0,355.0
6237,70,6163.835782167972,285,283.9236561018003,6167.0,371.0
8536,80,8461.955182569469,150,150.10068088956012,8456.0,405.0
10731,90,10649.574689807192,112,109.17522842921039,10641.0,536.0
12182,100,12093.848047853815,139,137.73131880596117,12082.0,536.0
15891,120,15776.801442479466,194,191.3690590758793,15771.0,536.0
24052,140,23929.65484686223,394,396.1719686126444,23912.0,707.0
