steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
29,1,28.411945860268254,29,28.411945860268254,28.0,28.0
60,2,57.491829705299004,31,29.07988384503073,58.0,30.0
90,3,86.63333843753999,30,29.141508732240975,87.0,30.0
119,4,114.73986899188193,29,28.106530554341937,115.0,30.0
149,5,143.82500904467398,30,29.085140052792084,144.0,30.0
180,6,173.8509952519354,31,30.025986207261447,174.0,30.0
210,7,203.2610181476488,30,29.410022895713425,203.0,30.0
238,8,229.8787497965956,28,26.617731648946744,230.0,30.0
267,9,257.31132212086794,29,27.43257232427231,258.0,30.0
297,10,286.3149848017166,30,29.00366268084868,287.0,30.0
359,12,345.89796130083386,31,29.646630408534744,347.0,30.0
418,14,402.25490892977643,30,28.613748909074427,404.0,30.0
508,17,488.3223635948925,31,30.19372270133765,491.0,30.0
598,20,576.6389094104239,31,31.34289997200063,578.0,30.0
749,25,723.2273396930776,30,28.800062609984597,724.0,31.0
906,30,874.7512574284781,31,29.83202360995116,876.0,31.0
