steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
30,1,28.661160354434,30,28.661160354434,29.0,29.0
60,2,58.66624275808891,30,30.005082403654928,58.0,29.0
90,3,87.5674641390857,30,28.901221380996788,87.0,29.0
121,4,117.68012705163824,31,30.112662912552484,117.0,30.0
149,5,144.29784700445364,28,26.61771995281542,144.0,30.0
179,6,173.73202980586768,30,29.434182801414078,173.0,30.0
210,7,204.02935669365453,31,30.297326887786898,203.0,30.0
241,8,233.8462981490854,31,29.816941455430946,233.0,30.0
269,9,260.8133689494173,28,26.967070800331832,260.0,30.0
300,10,291.30992288741635,31,30.49655393799918,290.0,30.0
356,12,346.2316568720144,28,27.500931646876356,344.0,30.0
416,14,403.5976988891332,29,27.722703530141644,402.0,30.0
