steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
29,1,29.305989763420165,29,29.305989763420165,28.0,28.0
58,2,56.51614561837019,29,27.21015585495004,56.0,28.0
88,3,84.71292641642502,30,28.196780798054867,85.0,29.0
119,4,113.9962238764488,31,29.28329746002377,115.0,30.0
149,5,141.9439482753855,30,27.94772439893675,144.0,30.0
178,6,169.92437520005836,29,27.98042692467286,172.0,30.0
206,7,197.51110804528997,28,27.586732845231637,199.0,30.0
237,8,227.986041046803,31,30.474933001512973,229.0,30.0
266,9,255.98628232600987,29,28.000241279206787,257.0,30.0
295,10,283.51893771232557,29,27.532655386315597,285.0,30.0
353,12,339.9932304063587,29,27.59212780154948,341.0,30.0
413,14,398.3408620145831,29,27.686806576826694,399.0,30.0
500,17,481.38463781224823,30,28.441183152889433,483.0,30.0
587,20,564.335521555383,28,26.21539094504054,567.0,30.0
